rank,feature,importance,importance_pct,cumulative_importance_pct
1,cause_closure_rate,0.09143638610839844,9.143638440526306,9.143638440526306
2,cause_corridor_closure_rate,0.07432518154382706,7.43251801594127,16.576156456467576
3,is_night,0.05173201858997345,5.1732017626389535,21.74935821910653
4,cause_priority_key_freq,0.048585861921310425,4.858586101632824,26.607944320739353
5,corridor_encoded,0.0455787368118763,4.557873596290618,31.16581791702997
6,corridor_closure_rate,0.04514125734567642,4.514125650485499,35.67994356751547
7,hour_cos,0.0451112762093544,4.511127536909141,40.191071104424616
8,cause_corridor_key_freq,0.044638123363256454,4.463812253180663,44.65488335760527
9,vehicle_type_encoded,0.043947041034698486,4.394704021612108,49.049587379217385
10,police_station_encoded,0.04392170533537865,4.392170451727314,53.4417578309447
11,hour_sin,0.04348678141832352,4.348678060831911,57.7904358917766
12,has_vehicle_type,0.04271060600876808,4.271060521322107,62.061496413098716
13,zone_encoded,0.040569692850112915,4.056969209444351,66.11846562254307
14,hour_of_day,0.040483810007572174,4.048380925350246,70.16684654789331
15,is_non_corridor,0.040187254548072815,4.018725379952688,74.18557192784601
16,has_zone,0.039978206157684326,3.997820541303222,78.18339246914923
17,is_weekend,0.039429303258657455,3.9429302524229466,82.12632272157217
18,event_cause_encoded,0.03754366189241409,3.754366119310891,85.88068884088305
19,month,0.0368269719183445,3.6826971232388708,89.56338596412193
20,day_of_week,0.0353175587952137,3.5317558137372917,93.09514177785923
21,is_high_priority_corridor,0.034859731793403625,3.4859731144090538,96.58111489226827
22,is_peak_hour,0.034188851714134216,3.4188851077317244,100.0
